power,speed,top sa,side sa
80,400,18.23,9.83
260,1300,19.14,11.31
440,2200,19.565,12.51
620,3100,24.19,24.79
800,4000,30.405,23.78
80,266.67,25.63,15.49
260,866.67,13.705,17.97
440,1466.67,15.49,27.11
620,2066.67,19.949,31.18
800,2666.67,21.625,37.74
80,200,16.875,17.95
260,650,13.61,19.18
440,1100,11.39,34.84
800,2000,19.04,45.61
80,160,18.3,17.22
260,520,14.17,33
440,880,12.98,36.26
620,1240,9.815,37.98
800,1600,11.465,43.24
260,1466.67,20.66,15.94
440,1466.67,19.17,27.11
620,1466.67,18.455,22.04
260,1100,18.445,17.59
440,1100,19.22,34.84
620,1100,10.325,35.04
664,2904,0,15.24
351,1519,0,20.67
510,2424,0,14.085
717,3358,0,19.04
407,2147,0,18.265
200,1300,0,14.855
400,2200,0,15.885
100,700,0,12.59
